GENOME,SAMPLE
GRCh38,GSM3020393
GRCh38,GSM3020394
GRCh38,GSM3020395
GRCh38,GSM3020396
GRCh38,GSM3020397
GRCh38,GSM3020398
GRCh38,GSM3020399
GRCh38,GSM3020400
GRCh38,GSM3020401
GRCh38,GSM3020402
GRCh38,GSM3020403
GRCh38,GSM3020404
GRCh38,GSM3087619
GRCh38,GSM3087622
GRCh38,GSM3087624
GRCh38,GSM3087626
GRCh38,GSM3330561
GRCh38,GSM3330562
GRCh38,GSM3330563
GRCh38,GSM3330564
GRCh38,GSM3396161
GRCh38,GSM3396162
GRCh38,GSM3396163
GRCh38, GSM3396164
GRCh38, GSM3396165
GRCh38,GSM3396166
GRCh38,GSM3396167
GRCh38,GSM3396168
GRCh38,GSM3396169
GRCh38,GSM3396170
GRCh38,GSM3396171
GRCh38,GSM3396172
GRCh38,GSM3396173
GRCh38,GSM3396174
GRCh38,GSM3396175
GRCh38,GSM3396176
GRCh38,GSM3396177
GRCh38,GSM3396178
GRCh38,GSM3396179
GRCh38,GSM3396180
GRCh38,GSM3396181
GRCh38,GSM3396182
GRCh38,GSM3396183
GRCh38,GSM3396184
GRCh38,GSM3396185
GRCh38,GSM3478791
GRCh38,GSM3478792
GRCh38,GSM3511735
GRCh38,GSM3511738
GRCh38,GSM3511741
GRCh38,GSM3511747
GRCh38,GSM3511749
GRCh38,GSM3511752
GRCh38,GSM3511754
GRCh38,GSM3511757
GRCh38,GSM3511760
GRCh38,GSM3511762
GRCh38,GSM3511766
GRCh38,GSM3721445
GRCh38,GSM3721447
GRCh38,GSM3721448
GRCh38,GSM3721449
GRCh38,GSM3721450
GRCh38,GSM3721451
GRCh38,GSM3721452
GRCh38,GSM3721453
GRCh38,GSM3721454
GRCh38,GSM3721455
GRCh38,GSM3721456
GRCh38,GSM3721457
GRCh38,GSM3721458
GRCh38,GSM3721459
GRCh38,GSM3721460
GRCh38,GSM3721461
GRCh38,GSM3721462
GRCh38,GSM3721463
GRCh38,GSM3721464
GRCh38,GSM3836743
GRCh38,GSM3836744
GRCh38,GSM3836745
GRCh38,GSM3836746
GRCh38,GSM3836753
GRCh38,GSM3836754
GRCh38,GSM3836755
GRCh38,GSM3836756
GRCh38,GSM3836758
GRCh38,GSM3836759
GRCh38,GSM3836760
GRCh38,GSM3836761
GRCh38,GSM3836762
GRCh38,GSM3836763
GRCh38,GSM3836764
GRCh38,GSM3836765
GRCh38,GSM3837156
GRCh38,GSM3837157
GRCh38,GSM3837158
GRCh38,GSM3837159
GRCh38,GSM3837170
GRCh38,GSM3837171
GRCh38,GSM3837172
GRCh38,GSM3837173
GRCh38,GSM3892570
GRCh38,GSM3892571
GRCh38,GSM3892572
GRCh38,GSM3892573
GRCh38,GSM3892574
GRCh38,GSM3892575
GRCh38,GSM3892576
GRCh38 version 90,GSM3169075
hg19,GSM2695382
hg19,GSM2560245
hg19,GSM2560246
hg19,GSM2560247
hg19,GSM2560248
hg19,GSM2560249
hg38,GSM3374613
hg38,GSM3374614